Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,Starting Age,Age_Group,Starting_Age_Group
17189,43,Male,24,Education,3961,Poor,High,Low,0,No,64,Bachelor’s Degree,Married,0,Mid,Large,69,No,No,No,Fair,Very High,Left,19,35-44,18-25
31516,25,Male,2,Healthcare,7107,Excellent,Medium,Average,0,Yes,87,Associate Degree,Divorced,0,Mid,Small,18,No,No,No,Good,High,Stayed,23,25-34,18-25
49198,34,Male,7,Healthcare,8312,Good,Medium,Below Average,1,Yes,77,PhD,Single,0,Mid,Medium,27,No,No,No,Excellent,Low,Left,27,25-34,25-34
60686,36,Male,11,Technology,8085,Fair,Medium,Below Average,0,No,76,Bachelor’s Degree,Married,0,Entry,Medium,49,No,No,No,Good,Medium,Stayed,25,35-44,25-34
14616,48,Male,8,Education,4317,Poor,High,Below Average,1,No,69,Master’s Degree,Married,4,Entry,Small,47,No,No,No,Good,Low,Left,40,45-54,35-44
27617,57,Male,24,Media,6219,Excellent,Low,Below Average,3,Yes,44,High School,Divorced,2,Entry,Medium,75,No,No,No,Excellent,High,Stayed,33,55-64,25-34
23602,46,Female,26,Finance,8376,Fair,Very High,Low,1,No,77,Associate Degree,Single,1,Entry,Medium,94,No,No,No,Fair,Medium,Left,20,45-54,18-25
64272,22,Male,1,Media,6519,Poor,Medium,Average,2,No,68,Master’s Degree,Single,0,Entry,Medium,39,No,No,No,Good,Low,Left,21,18-25,18-25
56488,24,Male,4,Education,3198,Fair,High,Average,1,No,22,Master’s Degree,Married,3,Senior,Medium,49,No,No,No,Good,Medium,Left,20,18-25,18-25
70350,41,Male,19,Technology,9587,Poor,Very High,Average,2,No,4,Bachelor’s Degree,Single,1,Mid,Small,32,No,No,No,Fair,Medium,Left,22,35-44,18-25
65256,50,Female,18,Technology,8935,Fair,Medium,Below Average,2,No,10,Master’s Degree,Married,1,Entry,Small,55,No,No,No,Good,High,Stayed,32,45-54,25-34
19598,30,Male,2,Education,3089,Poor,High,Average,0,Yes,35,Associate Degree,Married,0,Entry,Large,39,No,No,No,Poor,Low,Left,28,25-34,25-34
45711,38,Male,10,Healthcare,6138,Excellent,High,Average,0,Yes,35,High School,Married,2,Entry,Medium,71,No,No,No,Excellent,Medium,Stayed,28,35-44,25-34
31921,46,Male,6,Finance,7800,Good,Medium,Below Average,1,No,2,High School,Single,5,Entry,Large,44,No,No,No,Fair,Low,Left,40,45-54,35-44
28968,27,Female,5,Media,7043,Fair,Medium,Below Average,0,No,39,Bachelor’s Degree,Married,0,Entry,Small,48,No,No,No,Good,High,Stayed,22,25-34,18-25
42658,59,Male,3,Healthcare,8326,Good,High,Low,1,No,71,Bachelor’s Degree,Married,0,Mid,Small,25,No,No,No,Excellent,Low,Left,56,55-64,55-64
5719,53,Male,4,Education,3670,Fair,High,Average,0,No,31,High School,Single,0,Entry,Small,65,No,No,No,Good,Medium,Left,49,45-54,45-54
64168,45,Male,9,Media,7242,Good,Very High,Average,0,Yes,37,Bachelor’s Degree,Single,3,Entry,Medium,63,Yes,No,No,Good,High,Left,36,45-54,35-44
11169,52,Male,17,Media,5834,Fair,High,High,2,No,86,Associate Degree,Married,2,Mid,Medium,53,No,No,No,Excellent,Medium,Stayed,35,45-54,35-44
26913,31,Male,1,Media,5687,Good,Very High,Average,1,No,72,Associate Degree,Single,2,Entry,Large,15,No,No,No,Good,High,Left,30,25-34,25-34
67990,53,Female,22,Media,4939,Good,High,Average,1,Yes,50,Associate Degree,Single,2,Senior,Medium,76,Yes,No,No,Fair,Very High,Stayed,31,45-54,25-34
14669,54,Female,6,Education,3631,Fair,High,High,0,Yes,38,PhD,Married,3,Entry,Medium,68,No,No,No,Poor,High,Left,48,45-54,45-54
43491,56,Female,4,Media,6071,Poor,Medium,Average,1,Yes,82,Associate Degree,Single,2,Entry,Medium,12,No,No,Yes,Excellent,Low,Left,52,55-64,45-54
13903,35,Male,8,Media,6092,Good,Medium,Average,2,No,79,PhD,Single,0,Entry,Small,58,Yes,No,No,Fair,Low,Stayed,27,35-44,25-34
6649,40,Male,16,Healthcare,8727,Poor,High,High,2,No,35,High School,Divorced,2,Mid,Medium,65,No,No,No,Poor,Low,Stayed,24,35-44,18-25
51846,41,Male,6,Healthcare,7252,Good,Medium,Average,2,No,14,Associate Degree,Divorced,0,Mid,Large,71,No,No,No,Poor,Low,Stayed,35,35-44,35-44
26809,33,Male,6,Technology,11283,Good,Low,Average,3,No,8,Bachelor’s Degree,Married,0,Entry,Large,30,No,No,No,Good,Low,Stayed,27,25-34,25-34
64951,42,Female,22,Technology,9062,Fair,High,High,3,No,75,High School,Married,1,Entry,Medium,77,Yes,No,No,Fair,High,Stayed,20,35-44,18-25
23719,54,Male,1,Healthcare,7712,Excellent,Medium,Average,0,No,15,Bachelor’s Degree,Married,5,Mid,Large,40,No,No,No,Poor,Low,Stayed,53,45-54,45-54
42562,58,Male,8,Healthcare,8149,Excellent,Medium,Average,0,No,13,PhD,Married,3,Mid,Small,69,No,No,Yes,Fair,Medium,Stayed,50,55-64,45-54
47539,32,Male,9,Technology,12240,Excellent,High,High,2,No,93,Associate Degree,Married,0,Senior,Small,73,No,No,Yes,Good,High,Stayed,23,25-34,18-25
42053,43,Male,23,Education,3812,Excellent,High,Average,0,No,96,Bachelor’s Degree,Divorced,3,Senior,Medium,69,No,No,No,Fair,High,Stayed,20,35-44,18-25
1279,55,Female,25,Technology,9099,Poor,Low,High,0,No,42,Master’s Degree,Single,2,Entry,Medium,95,No,No,No,Good,Medium,Left,30,55-64,25-34
13169,42,Male,7,Technology,7314,Good,High,High,3,Yes,28,Master’s Degree,Married,4,Mid,Small,38,No,No,No,Good,Low,Stayed,35,35-44,35-44
33968,56,Female,35,Technology,9615,Poor,High,Average,1,No,25,Bachelor’s Degree,Married,0,Mid,Medium,73,No,No,No,Poor,High,Stayed,21,55-64,18-25
25662,41,Male,14,Technology,8118,Poor,Low,Average,1,No,3,Bachelor’s Degree,Single,4,Mid,Medium,63,No,No,No,Good,Low,Left,27,35-44,25-34
34240,57,Male,13,Education,4492,Fair,High,Average,3,Yes,27,Associate Degree,Married,5,Mid,Large,27,No,No,No,Good,Medium,Stayed,44,55-64,35-44
72123,59,Female,24,Education,3644,Fair,Low,Below Average,1,No,83,Bachelor’s Degree,Married,4,Entry,Medium,26,No,No,No,Good,High,Left,35,55-64,35-44
26938,59,Male,9,Technology,10107,Fair,High,Average,0,Yes,22,High School,Married,3,Senior,Small,66,Yes,No,Yes,Good,Medium,Stayed,50,55-64,45-54
49495,50,Male,10,Media,6493,Good,High,High,0,No,29,High School,Single,0,Mid,Small,72,Yes,No,No,Good,Low,Stayed,40,45-54,35-44
13947,56,Male,1,Healthcare,7758,Excellent,Very High,Average,0,No,14,Associate Degree,Married,2,Entry,Large,32,Yes,Yes,No,Good,Low,Stayed,55,55-64,55-64
52157,42,Male,13,Education,3816,Excellent,Low,Average,1,Yes,23,High School,Single,1,Entry,Medium,49,Yes,No,No,Good,Low,Stayed,29,35-44,25-34
24543,22,Male,2,Finance,9492,Good,Very High,Low,1,No,93,High School,Single,1,Entry,Medium,47,No,No,No,Good,Low,Left,20,18-25,18-25
54581,57,Male,24,Healthcare,9252,Good,Very High,Average,2,No,32,High School,Married,2,Mid,Medium,44,No,No,No,Good,Very High,Stayed,33,55-64,25-34
1091,57,Male,2,Finance,12142,Fair,Low,Low,1,No,16,High School,Married,1,Mid,Medium,67,No,No,No,Good,High,Stayed,55,55-64,55-64
11336,23,Female,5,Healthcare,7127,Poor,High,Average,1,Yes,5,Associate Degree,Married,1,Senior,Medium,55,No,No,Yes,Good,Low,Stayed,18,18-25,18-25
6469,34,Female,5,Finance,10052,Fair,High,Below Average,0,Yes,25,Associate Degree,Married,5,Senior,Medium,59,No,No,No,Excellent,Low,Stayed,29,25-34,25-34
39357,55,Male,31,Education,5768,Good,High,Average,0,No,39,Bachelor’s Degree,Married,1,Mid,Small,57,No,No,No,Excellent,High,Left,24,55-64,18-25
29600,44,Female,4,Technology,10383,Fair,Medium,Below Average,0,No,11,Bachelor’s Degree,Single,4,Senior,Medium,51,No,No,No,Poor,Medium,Left,40,35-44,35-44
34896,39,Male,10,Technology,11646,Excellent,Medium,Average,1,No,50,Bachelor’s Degree,Married,0,Mid,Large,24,No,No,No,Good,Low,Stayed,29,35-44,25-34
49124,46,Male,23,Technology,7858,Excellent,Medium,Average,0,No,30,Associate Degree,Married,3,Entry,Medium,50,No,No,Yes,Good,Low,Stayed,23,45-54,18-25
27997,55,Female,10,Finance,7169,Good,High,Below Average,0,No,87,Bachelor’s Degree,Married,0,Mid,Large,33,Yes,No,No,Good,Low,Stayed,45,55-64,45-54
7135,29,Female,10,Media,6547,Fair,Very High,Average,1,No,66,High School,Single,0,Mid,Medium,57,Yes,No,No,Fair,Medium,Stayed,19,25-34,18-25
39553,36,Male,11,Education,3883,Excellent,Low,Below Average,2,Yes,26,Associate Degree,Divorced,1,Entry,Small,35,Yes,No,No,Poor,Low,Stayed,25,35-44,25-34
6794,49,Male,30,Technology,10084,Fair,Very High,Average,3,No,31,PhD,Married,2,Entry,Medium,77,No,No,No,Good,Medium,Stayed,19,45-54,18-25
14011,53,Male,18,Education,5700,Excellent,Very High,High,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,34,No,No,No,Fair,Medium,Stayed,35,45-54,35-44
16439,49,Male,9,Technology,7204,Good,High,Below Average,1,Yes,82,Bachelor’s Degree,Single,0,Senior,Medium,19,No,No,No,Excellent,Medium,Left,40,45-54,35-44
19394,43,Female,17,Healthcare,8245,Poor,High,Low,1,No,18,Bachelor’s Degree,Single,2,Entry,Large,74,Yes,No,No,Fair,Low,Left,26,35-44,25-34
71080,49,Male,13,Healthcare,7970,Fair,High,Average,0,No,53,Bachelor’s Degree,Married,4,Entry,Medium,21,Yes,No,No,Fair,High,Stayed,36,45-54,35-44
60021,49,Female,13,Finance,8164,Good,High,High,1,No,95,Associate Degree,Single,0,Senior,Small,74,No,No,No,Fair,High,Left,36,45-54,35-44
44982,24,Male,6,Healthcare,8635,Good,Low,Average,0,No,99,Associate Degree,Single,1,Senior,Medium,19,No,No,Yes,Poor,Low,Left,18,18-25,18-25
8899,40,Female,4,Healthcare,6097,Fair,Very High,Average,0,Yes,81,High School,Married,5,Entry,Small,48,No,No,No,Good,High,Left,36,35-44,35-44
128,43,Female,10,Technology,10964,Excellent,Very High,High,0,No,94,Master’s Degree,Married,2,Entry,Medium,22,No,No,No,Good,Medium,Left,33,35-44,25-34
69732,58,Female,8,Education,4021,Good,High,Average,3,Yes,78,Bachelor’s Degree,Married,1,Entry,Medium,65,No,No,No,Fair,High,Left,50,55-64,45-54
73607,45,Female,1,Technology,7841,Excellent,High,Below Average,0,No,35,Bachelor’s Degree,Single,3,Mid,Medium,19,No,No,Yes,Good,Low,Left,44,45-54,35-44
45755,39,Female,3,Education,4428,Good,Low,Average,0,No,90,Master’s Degree,Single,0,Mid,Medium,50,No,Yes,Yes,Poor,Low,Stayed,36,35-44,35-44
1881,29,Male,1,Technology,8703,Good,Very High,Below Average,1,Yes,12,Bachelor’s Degree,Married,4,Entry,Medium,74,Yes,No,No,Good,Medium,Stayed,28,25-34,25-34
15968,55,Female,21,Media,6860,Good,Very High,Low,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,79,No,No,No,Excellent,Low,Left,34,55-64,25-34
4666,35,Female,4,Finance,11105,Fair,High,Low,0,Yes,2,Master’s Degree,Single,0,Entry,Small,69,No,No,No,Good,High,Left,31,35-44,25-34
61929,57,Male,19,Finance,8851,Good,High,High,1,Yes,73,Associate Degree,Single,0,Entry,Medium,36,No,No,No,Fair,Low,Left,38,55-64,35-44
832,57,Female,12,Media,6217,Fair,Medium,Average,0,Yes,58,Associate Degree,Married,1,Mid,Medium,90,Yes,No,No,Good,Low,Stayed,45,55-64,45-54
41981,22,Female,2,Healthcare,9102,Good,High,Average,0,No,85,High School,Single,0,Senior,Small,16,No,No,No,Poor,Medium,Left,20,18-25,18-25
43687,49,Female,3,Technology,9599,Good,High,Below Average,1,No,4,Bachelor’s Degree,Divorced,3,Mid,Large,58,No,No,No,Fair,Medium,Stayed,46,45-54,45-54
41828,37,Female,13,Media,5983,Fair,High,Average,0,No,11,Bachelor’s Degree,Married,0,Entry,Small,49,No,No,No,Good,High,Stayed,24,35-44,18-25
70755,41,Female,18,Finance,10901,Poor,Very High,Average,2,Yes,72,PhD,Divorced,1,Senior,Large,78,No,No,No,Good,Medium,Stayed,23,35-44,18-25
9802,49,Female,16,Finance,9338,Fair,Very High,Average,0,No,49,High School,Married,1,Mid,Medium,25,No,No,Yes,Good,Medium,Stayed,33,45-54,25-34
43886,57,Female,8,Technology,8598,Good,High,Average,2,Yes,89,Master’s Degree,Married,3,Senior,Medium,69,No,No,No,Good,Medium,Left,49,55-64,45-54
69600,38,Male,2,Finance,9024,Good,Medium,Low,1,No,12,Master’s Degree,Married,1,Entry,Small,62,No,No,No,Good,Low,Stayed,36,35-44,35-44
61496,45,Male,8,Healthcare,7569,Excellent,Low,High,0,Yes,76,Associate Degree,Married,2,Entry,Small,46,No,No,Yes,Good,Medium,Left,37,45-54,35-44
39479,42,Female,18,Finance,8549,Poor,Very High,Average,0,Yes,94,High School,Divorced,2,Senior,Large,37,No,No,No,Poor,Low,Left,24,35-44,18-25
46253,24,Male,5,Healthcare,8231,Fair,High,Average,2,Yes,41,Master’s Degree,Married,1,Mid,Medium,74,No,No,No,Good,High,Stayed,19,18-25,18-25
65401,43,Female,19,Healthcare,8167,Excellent,High,Average,1,No,87,Bachelor’s Degree,Single,4,Senior,Medium,69,No,No,No,Fair,High,Stayed,24,35-44,18-25
26677,37,Male,4,Media,6097,Excellent,High,Average,2,No,90,Associate Degree,Married,3,Mid,Large,21,No,No,Yes,Poor,Low,Left,33,35-44,25-34
32453,38,Female,3,Education,4916,Good,Very High,Average,0,No,86,Associate Degree,Married,1,Entry,Medium,59,Yes,No,No,Excellent,High,Left,35,35-44,35-44
63591,57,Male,38,Technology,9838,Fair,Very High,High,0,No,36,High School,Married,0,Entry,Medium,84,No,No,No,Good,Low,Stayed,19,55-64,18-25
17316,37,Female,15,Healthcare,8012,Good,Very High,Average,0,Yes,83,Bachelor’s Degree,Married,1,Mid,Medium,59,No,No,No,Good,Low,Left,22,35-44,18-25
54762,29,Male,10,Healthcare,7539,Fair,Medium,Average,0,Yes,86,Master’s Degree,Married,0,Senior,Medium,49,No,No,Yes,Good,High,Stayed,19,25-34,18-25
45422,40,Male,1,Technology,8284,Excellent,Medium,Average,2,Yes,20,Bachelor’s Degree,Single,1,Mid,Small,65,No,Yes,No,Fair,Medium,Left,39,35-44,35-44
63696,52,Male,17,Media,5341,Fair,High,High,2,No,54,Associate Degree,Single,0,Mid,Medium,22,Yes,No,No,Good,Low,Stayed,35,45-54,35-44
52508,37,Male,15,Technology,11018,Fair,Very High,Average,2,No,60,Master’s Degree,Married,1,Entry,Large,22,Yes,No,No,Good,Very High,Stayed,22,35-44,18-25
25234,56,Female,5,Technology,10062,Excellent,Medium,Below Average,0,No,39,High School,Married,0,Senior,Small,59,No,No,Yes,Good,High,Stayed,51,55-64,45-54
51526,30,Female,4,Finance,10333,Good,High,High,0,No,37,Master’s Degree,Single,0,Entry,Small,15,Yes,No,No,Poor,Medium,Left,26,25-34,25-34
1448,22,Female,1,Technology,8674,Good,High,Average,2,Yes,73,Associate Degree,Divorced,2,Entry,Medium,71,No,No,No,Good,Low,Left,21,18-25,18-25
61644,36,Male,16,Healthcare,8283,Good,High,Below Average,0,No,50,Associate Degree,Married,1,Senior,Small,61,No,No,No,Good,Low,Stayed,20,35-44,18-25
62199,42,Male,1,Media,5733,Excellent,High,Average,2,No,81,Associate Degree,Married,0,Entry,Medium,22,No,No,Yes,Good,High,Stayed,41,35-44,35-44
44932,34,Male,3,Healthcare,9353,Fair,High,Average,1,No,75,High School,Married,0,Entry,Medium,65,No,No,No,Excellent,High,Left,31,25-34,25-34
12577,51,Male,9,Healthcare,6511,Good,High,Average,0,No,29,Bachelor’s Degree,Single,1,Senior,Large,18,Yes,Yes,No,Good,High,Stayed,42,45-54,35-44
64073,38,Male,20,Finance,11758,Good,Medium,Average,0,No,9,Bachelor’s Degree,Married,0,Entry,Small,32,No,Yes,No,Good,Low,Stayed,18,35-44,18-25
8242,34,Male,5,Technology,7760,Good,Very High,Average,0,Yes,15,Bachelor’s Degree,Single,1,Mid,Medium,35,No,No,No,Poor,Medium,Left,29,25-34,25-34
34340,40,Female,10,Technology,11606,Fair,Medium,Average,4,Yes,89,Bachelor’s Degree,Single,1,Entry,Small,82,No,No,No,Excellent,Medium,Left,30,35-44,25-34
48939,40,Male,20,Healthcare,8553,Fair,Very High,Average,2,Yes,75,Master’s Degree,Married,0,Mid,Small,84,No,No,No,Fair,Low,Left,20,35-44,18-25
20691,49,Male,1,Media,5138,Fair,High,Below Average,2,No,2,Associate Degree,Married,2,Mid,Medium,79,No,No,No,Poor,High,Stayed,48,45-54,45-54
67224,33,Female,10,Healthcare,7789,Fair,Very High,Below Average,2,No,53,Master’s Degree,Married,2,Senior,Small,39,No,No,No,Poor,Medium,Left,23,25-34,18-25
27073,48,Male,27,Healthcare,9460,Poor,Medium,High,2,No,83,Associate Degree,Married,2,Mid,Small,106,No,No,No,Poor,High,Left,21,45-54,18-25
42992,31,Male,1,Education,3535,Good,High,Average,2,No,60,Associate Degree,Single,1,Entry,Medium,69,No,No,No,Good,Low,Left,30,25-34,25-34
68339,33,Male,4,Technology,7544,Fair,Low,Average,3,No,78,Bachelor’s Degree,Divorced,2,Entry,Small,31,No,No,No,Poor,Medium,Left,29,25-34,25-34
68083,43,Female,11,Healthcare,7746,Fair,Low,Below Average,1,Yes,54,High School,Married,0,Mid,Medium,27,Yes,No,No,Good,Low,Left,32,35-44,25-34
63058,47,Female,17,Finance,12280,Fair,Medium,Low,1,No,28,High School,Divorced,1,Senior,Small,49,No,No,No,Good,Medium,Stayed,30,45-54,25-34
68045,52,Male,24,Healthcare,7027,Poor,High,Average,1,Yes,86,Bachelor’s Degree,Single,1,Entry,Medium,69,Yes,No,Yes,Good,High,Left,28,45-54,25-34
16937,45,Male,18,Media,6442,Poor,Low,Average,0,No,57,Associate Degree,Single,2,Entry,Medium,66,Yes,No,No,Good,Medium,Left,27,45-54,25-34
44012,48,Female,26,Finance,12008,Excellent,Medium,Average,2,No,53,High School,Single,1,Mid,Large,97,No,No,No,Fair,High,Left,22,45-54,18-25
6502,22,Male,3,Education,4340,Excellent,Very High,Average,1,No,55,Master’s Degree,Married,3,Mid,Medium,7,No,No,No,Good,Low,Left,19,18-25,18-25
550,55,Female,4,Healthcare,8981,Good,High,Average,0,No,83,Master’s Degree,Single,3,Entry,Medium,79,No,No,No,Good,Low,Left,51,55-64,45-54
74399,49,Male,14,Education,4639,Fair,Medium,High,2,No,47,High School,Single,2,Mid,Small,65,No,No,No,Good,High,Left,35,45-54,35-44
35388,58,Male,37,Technology,8045,Fair,Low,High,0,No,53,Associate Degree,Single,5,Mid,Large,62,No,No,No,Fair,Medium,Stayed,21,55-64,18-25
47804,45,Female,3,Healthcare,6678,Fair,Medium,High,1,No,64,Associate Degree,Married,3,Mid,Medium,42,No,No,No,Poor,Low,Left,42,45-54,35-44
40010,35,Female,16,Media,5660,Fair,High,Average,0,Yes,23,Bachelor’s Degree,Married,1,Entry,Large,65,No,No,No,Fair,High,Stayed,19,35-44,18-25
13905,52,Female,34,Media,5146,Good,Low,Below Average,1,No,53,Master’s Degree,Married,0,Mid,Small,113,No,No,No,Good,Medium,Left,18,45-54,18-25
31436,45,Male,27,Technology,10185,Fair,Very High,Average,3,No,88,Bachelor’s Degree,Single,3,Mid,Medium,88,No,No,No,Good,Medium,Stayed,18,45-54,18-25
42685,27,Female,4,Technology,7344,Excellent,High,Average,0,No,96,Master’s Degree,Married,5,Mid,Medium,21,Yes,No,No,Poor,High,Stayed,23,25-34,18-25
34175,45,Male,15,Healthcare,9192,Excellent,Very High,High,3,No,93,High School,Single,0,Mid,Large,40,No,No,No,Good,Low,Left,30,45-54,25-34
20796,43,Female,7,Technology,10578,Excellent,High,Average,0,No,45,Master’s Degree,Single,1,Entry,Small,20,No,No,No,Good,Low,Left,36,35-44,35-44
4985,43,Female,8,Healthcare,8882,Poor,Medium,Low,1,Yes,45,Associate Degree,Divorced,1,Entry,Medium,81,Yes,No,No,Good,Low,Left,35,35-44,35-44
34253,33,Female,9,Education,4325,Good,High,Average,0,No,64,Bachelor’s Degree,Single,2,Mid,Medium,77,No,No,No,Fair,High,Left,24,25-34,18-25
40806,48,Male,21,Finance,5543,Good,Low,Average,1,No,74,Associate Degree,Single,1,Mid,Medium,69,Yes,No,Yes,Poor,High,Left,27,45-54,25-34
48200,20,Male,2,Media,6112,Good,Very High,High,2,No,84,Master’s Degree,Single,1,Senior,Medium,42,No,No,No,Excellent,Medium,Stayed,18,18-25,18-25
48496,44,Male,16,Healthcare,8135,Excellent,High,Below Average,0,No,83,Bachelor’s Degree,Married,2,Senior,Medium,63,No,No,No,Good,Low,Stayed,28,35-44,25-34
1604,32,Male,4,Technology,9645,Fair,Low,Average,2,Yes,10,Associate Degree,Married,4,Mid,Large,18,Yes,No,No,Good,Low,Stayed,28,25-34,25-34
74100,57,Male,11,Media,6215,Fair,Medium,High,0,No,94,Master’s Degree,Divorced,4,Senior,Medium,38,No,No,No,Poor,Low,Stayed,46,55-64,45-54
21907,47,Male,28,Media,6733,Good,Low,Average,0,No,8,Master’s Degree,Single,1,Mid,Large,75,No,No,No,Poor,Medium,Left,19,45-54,18-25
45560,39,Female,20,Finance,8120,Poor,Medium,Average,0,No,41,High School,Divorced,4,Entry,Small,51,No,No,No,Fair,Very High,Stayed,19,35-44,18-25
10407,36,Female,4,Education,2937,Poor,Medium,Low,0,Yes,73,Master’s Degree,Married,2,Entry,Medium,51,No,No,No,Good,Low,Left,32,35-44,25-34
27496,52,Female,20,Technology,11038,Good,Low,Average,0,No,26,High School,Married,0,Entry,Medium,84,No,No,Yes,Poor,High,Left,32,45-54,25-34
43850,42,Female,9,Healthcare,8615,Fair,Medium,Average,3,No,92,Bachelor’s Degree,Married,1,Entry,Medium,84,No,No,No,Fair,Very High,Left,33,35-44,25-34
35837,43,Male,17,Education,3503,Fair,High,Average,0,No,27,High School,Single,0,Senior,Small,25,No,No,No,Fair,Low,Stayed,26,35-44,25-34
39187,44,Female,25,Media,5771,Excellent,Very High,Average,2,Yes,46,PhD,Divorced,1,Senior,Small,82,No,No,No,Fair,Low,Stayed,19,35-44,18-25
31448,57,Female,14,Media,5622,Fair,Low,Average,2,No,1,Bachelor’s Degree,Married,2,Mid,Small,41,No,No,Yes,Good,High,Stayed,43,55-64,35-44
29706,51,Female,32,Media,5680,Good,Very High,Average,0,No,6,Bachelor’s Degree,Married,1,Entry,Small,69,No,No,No,Good,Low,Left,19,45-54,18-25
5170,40,Female,19,Healthcare,6846,Poor,Medium,Average,3,No,15,Associate Degree,Single,4,Entry,Medium,46,No,Yes,Yes,Excellent,High,Left,21,35-44,18-25
69917,36,Male,3,Healthcare,7276,Fair,Very High,Average,0,Yes,56,Bachelor’s Degree,Married,4,Senior,Large,38,No,No,No,Good,Low,Stayed,33,35-44,25-34
47372,55,Male,24,Education,3586,Excellent,High,Average,2,No,3,Bachelor’s Degree,Married,2,Mid,Small,87,No,No,No,Good,Low,Stayed,31,55-64,25-34
68950,48,Male,20,Education,5203,Excellent,High,Below Average,4,No,44,High School,Married,1,Entry,Medium,31,No,No,No,Excellent,Medium,Stayed,28,45-54,25-34
39231,36,Male,11,Technology,7237,Fair,Medium,Average,0,Yes,74,High School,Single,2,Mid,Medium,41,No,No,No,Good,Low,Left,25,35-44,25-34
14620,33,Male,2,Technology,7638,Excellent,Very High,Below Average,0,No,15,Associate Degree,Single,0,Entry,Medium,31,No,No,Yes,Poor,High,Left,31,25-34,25-34
65534,38,Male,16,Education,4854,Good,Very High,High,2,No,67,PhD,Married,4,Entry,Small,79,No,No,No,Good,High,Stayed,22,35-44,18-25
12054,58,Male,28,Healthcare,8336,Excellent,High,High,0,No,8,High School,Married,0,Mid,Medium,86,No,No,No,Good,Medium,Stayed,30,55-64,25-34
